src,dst,type
Agent:Blue,Event:B:11,PERFORMS
Event:B:11,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:12,PERFORMS
Event:R:12,ATTACK:T1046,USES_TECHNIQUE
Event:R:12,Host:10.0.235.10,TARGETS
Agent:Blue,Event:B:12,PERFORMS
Event:B:12,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:13,PERFORMS
Event:R:13,ATTACK:T1210,USES_TECHNIQUE
Event:R:13,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:13,PERFORMS
Event:B:13,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:14,PERFORMS
Event:R:14,ATTACK:T1068,USES_TECHNIQUE
Event:R:14,User:User3,TARGETS
Agent:Blue,Event:B:14,PERFORMS
Event:B:14,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:14,User:User3,TARGETS
Agent:Red,Event:R:15,PERFORMS
Event:R:15,ATTACK:T1210,USES_TECHNIQUE
Event:R:15,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:15,PERFORMS
Event:B:15,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:16,PERFORMS
Event:R:16,ATTACK:T1068,USES_TECHNIQUE
Event:R:16,User:User3,TARGETS
Agent:Blue,Event:B:16,PERFORMS
Event:B:16,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:16,User:User3,TARGETS
Event:R:14,Event:B:16,TRIGGERS
Agent:Red,Event:R:17,PERFORMS
Event:R:17,ATTACK:T1210,USES_TECHNIQUE
Event:R:17,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:17,PERFORMS
Event:B:17,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:18,PERFORMS
Event:R:18,ATTACK:T1068,USES_TECHNIQUE
Event:R:18,User:User4,TARGETS
Agent:Blue,Event:B:18,PERFORMS
Event:B:18,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:18,User:User4,TARGETS
Agent:Red,Event:R:19,PERFORMS
Event:R:19,ATTACK:T1210,USES_TECHNIQUE
Event:R:19,Host:10.0.235.10,TARGETS
Agent:Blue,Event:B:19,PERFORMS
Event:B:19,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:20,PERFORMS
Event:R:20,ATTACK:T1068,USES_TECHNIQUE
Event:R:20,Enterprise:Enterprise1,TARGETS
Agent:Blue,Event:B:20,PERFORMS
Event:B:20,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:20,Enterprise:Enterprise1,TARGETS
Agent:Red,Event:R:21,PERFORMS
Event:R:21,ATTACK:T1018,USES_TECHNIQUE
Event:R:21,Subnet:10.0.235.0/28,TARGETS
Agent:Blue,Event:B:21,PERFORMS
Event:B:21,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:22,PERFORMS
Event:R:22,ATTACK:T1046,USES_TECHNIQUE
Event:R:22,Host:10.0.235.7,TARGETS
Agent:Blue,Event:B:22,PERFORMS
Event:B:22,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:23,PERFORMS
Event:R:23,ATTACK:T1046,USES_TECHNIQUE
Event:R:23,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:23,PERFORMS
Event:B:23,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:24,PERFORMS
Event:R:24,ATTACK:T1046,USES_TECHNIQUE
Event:R:24,Host:10.0.235.3,TARGETS
Agent:Blue,Event:B:24,PERFORMS
Event:B:24,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:25,PERFORMS
Event:R:25,ATTACK:T1210,USES_TECHNIQUE
Event:R:25,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:25,PERFORMS
Event:B:25,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:26,PERFORMS
Event:R:26,ATTACK:T1068,USES_TECHNIQUE
Event:R:26,User:User3,TARGETS
Agent:Blue,Event:B:26,PERFORMS
Event:B:26,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:26,User:User3,TARGETS
Event:R:16,Event:B:26,TRIGGERS
Agent:Red,Event:R:27,PERFORMS
Event:R:27,ATTACK:T1210,USES_TECHNIQUE
Event:R:27,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:27,PERFORMS
Event:B:27,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:28,PERFORMS
Event:R:28,ATTACK:T1068,USES_TECHNIQUE
Event:R:28,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:28,PERFORMS
Event:B:28,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:28,Enterprise:Enterprise2,TARGETS
Agent:Red,Event:R:29,PERFORMS
Event:R:29,ATTACK:T1210,USES_TECHNIQUE
Event:R:29,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:29,PERFORMS
Event:B:29,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:30,PERFORMS
Event:R:30,ATTACK:T1068,USES_TECHNIQUE
Event:R:30,User:User3,TARGETS
Agent:Blue,Event:B:30,PERFORMS
Event:B:30,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:30,User:User3,TARGETS
Event:R:26,Event:B:30,TRIGGERS
Agent:Red,Event:R:31,PERFORMS
Event:R:31,ATTACK:T1210,USES_TECHNIQUE
Event:R:31,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:31,PERFORMS
Event:B:31,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:32,PERFORMS
Event:R:32,ATTACK:T1068,USES_TECHNIQUE
Event:R:32,User:User4,TARGETS
Agent:Blue,Event:B:32,PERFORMS
Event:B:32,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:32,User:User4,TARGETS
Agent:Red,Event:R:33,PERFORMS
Event:R:33,ATTACK:T1210,USES_TECHNIQUE
Event:R:33,Host:10.0.235.7,TARGETS
Agent:Blue,Event:B:33,PERFORMS
Event:B:33,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:34,PERFORMS
Event:R:34,ATTACK:T1068,USES_TECHNIQUE
Event:R:34,Enterprise:Enterprise1,TARGETS
Agent:Blue,Event:B:34,PERFORMS
Event:B:34,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:35,PERFORMS
Event:R:35,ATTACK:T1068,USES_TECHNIQUE
Event:R:35,User:User2,TARGETS
Agent:Blue,Event:B:35,PERFORMS
Event:B:35,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:36,PERFORMS
Event:R:36,ATTACK:T1068,USES_TECHNIQUE
Event:R:36,User:User4,TARGETS
Agent:Blue,Event:B:36,PERFORMS
Event:B:36,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:37,PERFORMS
Event:R:37,ATTACK:T1068,USES_TECHNIQUE
Event:R:37,User:User0,TARGETS
Agent:Blue,Event:B:37,PERFORMS
Event:B:37,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:38,PERFORMS
Event:R:38,ATTACK:T1210,USES_TECHNIQUE
Event:R:38,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:38,PERFORMS
Event:B:38,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:39,PERFORMS
Event:R:39,ATTACK:T1068,USES_TECHNIQUE
Event:R:39,User:User0,TARGETS
Agent:Blue,Event:B:39,PERFORMS
Event:B:39,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:40,PERFORMS
Event:R:40,ATTACK:T1068,USES_TECHNIQUE
Event:R:40,User:User4,TARGETS
Agent:Blue,Event:B:40,PERFORMS
Event:B:40,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:41,PERFORMS
Event:R:41,ATTACK:T1068,USES_TECHNIQUE
Event:R:41,User:User2,TARGETS
Agent:Blue,Event:B:41,PERFORMS
Event:B:41,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:42,PERFORMS
Event:R:42,ATTACK:T1068,USES_TECHNIQUE
Event:R:42,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:42,PERFORMS
Event:B:42,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:43,PERFORMS
Event:R:43,ATTACK:T1068,USES_TECHNIQUE
Event:R:43,Enterprise:Enterprise1,TARGETS
Agent:Blue,Event:B:43,PERFORMS
Event:B:43,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:44,PERFORMS
Event:R:44,ATTACK:T1210,USES_TECHNIQUE
Event:R:44,Host:10.0.235.3,TARGETS
Agent:Blue,Event:B:44,PERFORMS
Event:B:44,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:45,PERFORMS
Event:R:45,ATTACK:T1068,USES_TECHNIQUE
Event:R:45,Enterprise:Enterprise0,TARGETS
Agent:Blue,Event:B:45,PERFORMS
Event:B:45,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:45,Enterprise:Enterprise0,TARGETS
Agent:Red,Event:R:46,PERFORMS
Event:R:46,ATTACK:T1210,USES_TECHNIQUE
Event:R:46,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:46,PERFORMS
Event:B:46,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:47,PERFORMS
Event:R:47,ATTACK:T1068,USES_TECHNIQUE
Event:R:47,User:User1,TARGETS
Agent:Blue,Event:B:47,PERFORMS
Event:B:47,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:47,User:User1,TARGETS
Agent:Red,Event:R:48,PERFORMS
Event:R:48,ATTACK:T1210,USES_TECHNIQUE
Event:R:48,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:48,PERFORMS
Event:B:48,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:49,PERFORMS
Event:R:49,ATTACK:T1068,USES_TECHNIQUE
Event:R:49,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:49,PERFORMS
Event:B:49,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:49,Enterprise:Enterprise2,TARGETS
Event:R:42,Event:B:49,TRIGGERS
Agent:Red,Event:R:50,PERFORMS
Event:R:50,ATTACK:T1210,USES_TECHNIQUE
Event:R:50,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:50,PERFORMS
Event:B:50,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:51,PERFORMS
Event:R:51,ATTACK:T1068,USES_TECHNIQUE
Event:R:51,User:User3,TARGETS
Agent:Blue,Event:B:51,PERFORMS
Event:B:51,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:51,User:User3,TARGETS
Agent:Red,Event:R:52,PERFORMS
Event:R:52,ATTACK:T1210,USES_TECHNIQUE
Event:R:52,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:52,PERFORMS
Event:B:52,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:53,PERFORMS
Event:R:53,ATTACK:T1068,USES_TECHNIQUE
Event:R:53,User:User1,TARGETS
Agent:Blue,Event:B:53,PERFORMS
Event:B:53,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:53,User:User1,TARGETS
Event:R:47,Event:B:53,TRIGGERS
Agent:Red,Event:R:54,PERFORMS
Event:R:54,ATTACK:T1210,USES_TECHNIQUE
Event:R:54,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:54,PERFORMS
Event:B:54,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:55,PERFORMS
Event:R:55,ATTACK:T1068,USES_TECHNIQUE
Event:R:55,User:User1,TARGETS
Agent:Blue,Event:B:55,PERFORMS
Event:B:55,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:55,User:User1,TARGETS
Event:R:53,Event:B:55,TRIGGERS
Agent:Red,Event:R:56,PERFORMS
Event:R:56,ATTACK:T1210,USES_TECHNIQUE
Event:R:56,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:56,PERFORMS
Event:B:56,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:57,PERFORMS
Event:R:57,ATTACK:T1068,USES_TECHNIQUE
Event:R:57,User:User3,TARGETS
Agent:Blue,Event:B:57,PERFORMS
Event:B:57,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:57,User:User3,TARGETS
Event:R:51,Event:B:57,TRIGGERS
Agent:Red,Event:R:58,PERFORMS
Event:R:58,ATTACK:T1210,USES_TECHNIQUE
Event:R:58,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:58,PERFORMS
Event:B:58,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:59,PERFORMS
Event:R:59,ATTACK:T1068,USES_TECHNIQUE
Event:R:59,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:59,PERFORMS
Event:B:59,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:59,Enterprise:Enterprise2,TARGETS
Event:R:49,Event:B:59,TRIGGERS
Agent:Red,Event:R:60,PERFORMS
Event:R:60,ATTACK:T1210,USES_TECHNIQUE
Event:R:60,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:60,PERFORMS
Event:B:60,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:61,PERFORMS
Event:R:61,ATTACK:T1068,USES_TECHNIQUE
Event:R:61,User:User3,TARGETS
Agent:Blue,Event:B:61,PERFORMS
Event:B:61,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:61,User:User3,TARGETS
Event:R:57,Event:B:61,TRIGGERS
Agent:Red,Event:R:62,PERFORMS
Event:R:62,ATTACK:T1210,USES_TECHNIQUE
Event:R:62,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:62,PERFORMS
Event:B:62,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:63,PERFORMS
Event:R:63,ATTACK:T1068,USES_TECHNIQUE
Event:R:63,User:User0,TARGETS
Agent:Blue,Event:B:63,PERFORMS
Event:B:63,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:64,PERFORMS
Event:R:64,ATTACK:T1068,USES_TECHNIQUE
Event:R:64,User:User4,TARGETS
Agent:Blue,Event:B:64,PERFORMS
Event:B:64,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:65,PERFORMS
Event:R:65,ATTACK:T1068,USES_TECHNIQUE
Event:R:65,User:User2,TARGETS
Agent:Blue,Event:B:65,PERFORMS
Event:B:65,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:66,PERFORMS
Event:R:66,ATTACK:T1068,USES_TECHNIQUE
Event:R:66,Enterprise:Enterprise0,TARGETS
Agent:Blue,Event:B:66,PERFORMS
Event:B:66,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:67,PERFORMS
Event:R:67,ATTACK:T1068,USES_TECHNIQUE
Event:R:67,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:67,PERFORMS
Event:B:67,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:68,PERFORMS
Event:R:68,ATTACK:T1068,USES_TECHNIQUE
Event:R:68,Enterprise:Enterprise1,TARGETS
Agent:Blue,Event:B:68,PERFORMS
Event:B:68,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:69,PERFORMS
Event:R:69,ATTACK:T1210,USES_TECHNIQUE
Event:R:69,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:69,PERFORMS
Event:B:69,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:70,PERFORMS
Event:R:70,ATTACK:T1068,USES_TECHNIQUE
Event:R:70,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:70,PERFORMS
Event:B:70,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:70,Enterprise:Enterprise2,TARGETS
Event:R:67,Event:B:70,TRIGGERS
Agent:Red,Event:R:71,PERFORMS
Event:R:71,ATTACK:T1210,USES_TECHNIQUE
Event:R:71,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:71,PERFORMS
Event:B:71,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:72,PERFORMS
Event:R:72,ATTACK:T1068,USES_TECHNIQUE
Event:R:72,User:User1,TARGETS
Agent:Blue,Event:B:72,PERFORMS
Event:B:72,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:72,User:User1,TARGETS
Agent:Red,Event:R:73,PERFORMS
Event:R:73,ATTACK:T1210,USES_TECHNIQUE
Event:R:73,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:73,PERFORMS
Event:B:73,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:74,PERFORMS
Event:R:74,ATTACK:T1068,USES_TECHNIQUE
Event:R:74,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:74,PERFORMS
Event:B:74,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:74,Enterprise:Enterprise2,TARGETS
Event:R:70,Event:B:74,TRIGGERS
Agent:Red,Event:R:75,PERFORMS
Event:R:75,ATTACK:T1210,USES_TECHNIQUE
Event:R:75,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:75,PERFORMS
Event:B:75,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:76,PERFORMS
Event:R:76,ATTACK:T1068,USES_TECHNIQUE
Event:R:76,User:User1,TARGETS
Agent:Blue,Event:B:76,PERFORMS
Event:B:76,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:76,User:User1,TARGETS
Event:R:72,Event:B:76,TRIGGERS
Agent:Red,Event:R:77,PERFORMS
Event:R:77,ATTACK:T1210,USES_TECHNIQUE
Event:R:77,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:77,PERFORMS
Event:B:77,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:78,PERFORMS
Event:R:78,ATTACK:T1068,USES_TECHNIQUE
Event:R:78,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:78,PERFORMS
Event:B:78,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:78,Enterprise:Enterprise2,TARGETS
Event:R:74,Event:B:78,TRIGGERS
Agent:Red,Event:R:79,PERFORMS
Event:R:79,ATTACK:T1046,USES_TECHNIQUE
Event:R:79,Host:10.0.160.35,TARGETS
Agent:Blue,Event:B:79,PERFORMS
Event:B:79,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:80,PERFORMS
Event:R:80,ATTACK:T1210,USES_TECHNIQUE
Event:R:80,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:80,PERFORMS
Event:B:80,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:81,PERFORMS
Event:R:81,ATTACK:T1068,USES_TECHNIQUE
Event:R:81,User:User3,TARGETS
Agent:Blue,Event:B:81,PERFORMS
Event:B:81,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:81,User:User3,TARGETS
Agent:Red,Event:R:82,PERFORMS
Event:R:82,ATTACK:T1210,USES_TECHNIQUE
Event:R:82,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:82,PERFORMS
Event:B:82,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:83,PERFORMS
Event:R:83,ATTACK:T1068,USES_TECHNIQUE
Event:R:83,User:User1,TARGETS
Agent:Blue,Event:B:83,PERFORMS
Event:B:83,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:83,User:User1,TARGETS
Event:R:76,Event:B:83,TRIGGERS
Agent:Red,Event:R:84,PERFORMS
Event:R:84,ATTACK:T1210,USES_TECHNIQUE
Event:R:84,Host:10.0.160.35,TARGETS
Agent:Blue,Event:B:84,PERFORMS
Event:B:84,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:85,PERFORMS
Event:R:85,ATTACK:T1068,USES_TECHNIQUE
Event:R:85,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:85,PERFORMS
Event:B:85,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:85,Object:Op_Server0,TARGETS
Agent:Red,Event:R:86,PERFORMS
Event:R:86,ATTACK:UNK,USES_TECHNIQUE
Event:R:86,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:86,PERFORMS
Event:B:86,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:87,PERFORMS
Event:R:87,ATTACK:UNK,USES_TECHNIQUE
Event:R:87,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:87,PERFORMS
Event:B:87,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:88,PERFORMS
Event:R:88,ATTACK:UNK,USES_TECHNIQUE
Event:R:88,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:88,PERFORMS
Event:B:88,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:89,PERFORMS
Event:R:89,ATTACK:UNK,USES_TECHNIQUE
Event:R:89,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:89,PERFORMS
Event:B:89,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:90,PERFORMS
Event:R:90,ATTACK:UNK,USES_TECHNIQUE
Event:R:90,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:90,PERFORMS
Event:B:90,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:91,PERFORMS
Event:R:91,ATTACK:UNK,USES_TECHNIQUE
Event:R:91,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:91,PERFORMS
Event:B:91,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:92,PERFORMS
Event:R:92,ATTACK:UNK,USES_TECHNIQUE
Event:R:92,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:92,PERFORMS
Event:B:92,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:93,PERFORMS
Event:R:93,ATTACK:UNK,USES_TECHNIQUE
Event:R:93,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:93,PERFORMS
Event:B:93,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:94,PERFORMS
Event:R:94,ATTACK:UNK,USES_TECHNIQUE
Event:R:94,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:94,PERFORMS
Event:B:94,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:95,PERFORMS
Event:R:95,ATTACK:UNK,USES_TECHNIQUE
Event:R:95,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:95,PERFORMS
Event:B:95,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:96,PERFORMS
Event:R:96,ATTACK:UNK,USES_TECHNIQUE
Event:R:96,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:96,PERFORMS
Event:B:96,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:97,PERFORMS
Event:R:97,ATTACK:UNK,USES_TECHNIQUE
Event:R:97,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:97,PERFORMS
Event:B:97,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:98,PERFORMS
Event:R:98,ATTACK:UNK,USES_TECHNIQUE
Event:R:98,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:98,PERFORMS
Event:B:98,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:99,PERFORMS
Event:R:99,ATTACK:UNK,USES_TECHNIQUE
Event:R:99,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:99,PERFORMS
Event:B:99,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:100,PERFORMS
Event:R:100,ATTACK:UNK,USES_TECHNIQUE
Event:R:100,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:100,PERFORMS
Event:B:100,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:101,PERFORMS
Event:R:101,ATTACK:UNK,USES_TECHNIQUE
Event:R:101,Object:Op_Server0,TARGETS
